SMILES,LIBRARY,ANTIBIOTIC_ACTIVITY
CN([C@H]1CCOC1)C(=O)c1cc(on1)COc1ccc(cc1Cl)F,BROAD,0.21633882
Cc1c(oc2c1C(=O)NCCC2)[N+](=O)[O-],BROAD,0.247323559
CSc1nsc(c1-c1ccc(cc1)Cl)SC,BROAD,0.219585328
CC[C@@H](SC1=Nc2ccsc2C(=O)N1Cc1ccc(cc1)C(=O)O)C(=O)Nc1cc(ccc1C)Cl,BROAD,0.206214444
OC(=O)Cn1c2c(c3cc(ccc13)F)N=C1SCCN1C2=O,BROAD,0.253952048
[O-][N+](=O)c1ccc(o1)/C=C/C=C/1\SC(=S)NC1=O,BROAD,0.305201758
COc1cc(c(cc1Cl)N1C[C@@]23O[C@@H](C=C2)[C@@H]([C@@H]3C1=O)C(=O)O)OC,BROAD,0.25715832
C[C@@H]1CN(C[C@H](C)O1)C(=O)C1=Cc2cc(cc(c2OC1=O)Cl)Cl,BROAD,0.238858878
COc1ccc(cc1)Cn1nnnc1[C@@H](N1CCC(CC1)C(=O)N)c1ccccc1Cl,BROAD,0.205084999
Oc1ccc(cc1N1[C@@H](SCC1=O)c1ccccc1F)Cl,BROAD,0.348402963
CN1C(=O)N(C)c2nc(n(c2C1=O)Cc1cc2c(cc1Cl)OCO2)SCC(=O)O,BROAD,0.21155684
OC(=O)[C@H]1CS[C@@H](N1C(=O)c1ccc(cc1)Cl)c1ccccc1Cl,BROAD,0.390189675
OC(=O)CN1C(=O)[C@H]2[C@H]3C[C@@H]([C@H]4[C@@H]3SC3=C(SC(=O)N3)[C@@H]4c3ccc(cc3)Cl)[C@@H]2C1=O,BROAD,0.344767471
OC(=O)CN1C(=O)[C@H]2[C@H]3C[C@@H]([C@H]4[C@@H]3SC3=C(SC(=O)N3)[C@@H]4c3ccc(cc3)F)[C@@H]2C1=O,BROAD,0.242542689
CC1=C(N2[C@@H](SC1)[C@@H](NC(=O)c1nn(cc1[N+](=O)[O-])C)C2=O)C(=O)O,BROAD,0.690224129
CC1=C(N2[C@@H](SC1)[C@@H](NC(=O)CCCC(=O)O)C2=O)C(=O)O,BROAD,0.279591068
CC(=O)OCC1=C(N2[C@@H](SC1)[C@@H](NC(=O)c1ccc(o1)COc1ccc(cc1)Cl)C2=O)C(=O)O,BROAD,0.583759788
COc1ccc(c(c1)[N+](=O)[O-])N1C(=O)C[C@@H](Sc2ccccc2C(=O)O)C1=O,BROAD,0.244344297
OC(=O)c1[nH]c2ccc(cc2c1CCN1C(=O)c2ccccc2C1=O)Cl,BROAD,0.203428009
CC(C)(CC(=O)O)CC(=O)N1CCCN(CC1)c1nc2ccc(cc2s1)Cl,BROAD,0.227252063
[O-][N+](=O)c1cc(cs1)C(=O)NC(=O)NCc1ccco1,BROAD,0.220574965
CC(C)N(C)Cc1nnnn1CC(=O)NCc1cc(cc(c1)C(F)(F)F)F,BROAD,0.220324409
CC(C)NC(=O)[C@H]1N2[C@@H](SC1(C)C)c1ccccc1C2=O,BROAD,0.241610027
OC(=O)c1nnn(c1-c1ccccc1)-c1ccc(cc1F)F,BROAD,0.25759668
CCCCCCCCCC(=O)N1CCN(CC1)c1cc2c(cc1F)C(=O)C(=CN2CC)C(=O)O,BROAD,0.334405601
OC(=O)c1cc(ccc1Cl)NC(=O)CSc1nnc([nH]1)-c1ccncc1,BROAD,0.223201498
OC(=O)c1cc2c(cc1NC(=O)c1c(cccc1Cl)F)OCCCO2,BROAD,0.225510946
Cn1c(nnc1SCC(=O)Nc1cc(ccc1Cl)Cl)CN1CCOCC1,BROAD,0.247627409
CSc1ccccc1NC(=O)c1noc(c1[N+](=O)[O-])C,BROAD,0.247190207
CC(C)[C@H](NC(=O)[C@H]1N2[C@@H](SC1(C)C)c1ccccc1C2=O)C(=O)NCc1ccco1,BROAD,0.248000254
C[C@@H](Oc1cc2c(cc1Cl)C1=C(CCCC1)C(=O)O2)C(=O)NC[C@H]1CC[C@@H](CC1)C(=O)O,BROAD,0.252899714
OC(=O)C1CCC(CC1)CN1C(=O)c2sccc2N=C1SCC(=O)NCCc1ccc(cc1)Cl,BROAD,0.222040671
Clc1cc(cc(c1)NC(=O)COc1ccc(cc1)-n1cnnn1)Cl,BROAD,0.206993954
Cc1nnc(s1)SCC1=C(N2[C@@H](SC1)[C@@H](NC(=O)COc1ccccc1)C2=O)C(=O)O,BROAD,0.661519866
CCOc1ccc(cc1OCC)C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)COC(=O)C,BROAD,0.460646653
C[C@@H](Sc1nnc(s1)N)C(=O)C1=C(N)N(C)C(=O)N(C)C1=O,BROAD,0.206469671
CC1=C(N2[C@@H](SC1)[C@@H](NC(=O)c1c(cccc1F)F)C2=O)C(=O)O,BROAD,0.698409083
